Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,812
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,756
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,541
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,644
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,611
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,759
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,599
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,674
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,736
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,716
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,755
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,736
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,811
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,906
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: other reasons,Number,102
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: other reasons,Number,147
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: other reasons,Number,144
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: other reasons,Number,88
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: other reasons,Number,129
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: other reasons,Number,241
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: other reasons,Number,200
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: other reasons,Number,174
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1360
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1448
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1303
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1122
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1207
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1454
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1575
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1265
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1193
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1170
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,972
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1107
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1149
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1204
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,,Number,1172
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,137
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,120
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,101
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,91
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,78
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,61
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,133
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,97
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,44
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,106
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,49
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,90
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,147
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,118
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: material difficulty,Number,110
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,41
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,86
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,64
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,65
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,46
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,114
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,77
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,24
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,32
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,7
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,19
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,18
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,22
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,30
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: unwillingness of parents,Number,8
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",Number,5
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",Number,3
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",Number,6
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,116
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,94
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,83
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,317
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,215
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,237
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,286
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,230
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,89
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,299
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,132
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,194
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,220
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,272
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: for domestic reasons,Number,260
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,64
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,75
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,55
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,64
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,78
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,127
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,46
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,31
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,46
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,49
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,41
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,12
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,10
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,73
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: no wishes to learn,Number,33
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,31
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,22
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,39
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,24
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,7
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,13
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,36
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,13
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,10
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,5
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,9
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,5
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,11
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,10
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: troubled families,Number,17
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: lack knowledge of language,Number,14
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: lack knowledge of language,Number,1
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: lack knowledge of language,Number,2
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: lack knowledge of language,Number,6
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: lack knowledge of language,Number,20
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: lack knowledge of language,Number,21
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: lack knowledge of language,Number,1
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: lack knowledge of language,Number,1
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: lack knowledge of language,Number,3
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: lack knowledge of language,Number,1
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: lack knowledge of language,Number,1
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: lack knowledge of language,Number,0
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,"Cause: married, pregnant, they became parents ( mother, father )",Number,4
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,"Cause: married, pregnant, they became parents ( mother, father )",Number,3
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,"Cause: married, pregnant, they became parents ( mother, father )",Number,0
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,39
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,144
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,94
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,40
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,66
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,74
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,115
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,88
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,380
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,75
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,60
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,204
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,199
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,121
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: working,Number,91
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: lack of transportation (school too far from home),Number,2
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",Number,4
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",Number,7
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",Number,79
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",Number,1
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",Number,4
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",Number,8
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: does not match the age of the given class,Number,4
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: does not match the age of the given class,Number,2
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: does not match the age of the given class,Number,1
