Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cancer,"Per 100,000 population",64.5
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cancer,"Per 100,000 population",64.4
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cancer,"Per 100,000 population",62.2
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cancer,"Per 100,000 population",65.6
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cancer,"Per 100,000 population",64.1
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cancer,"Per 100,000 population",32.3
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cancer,"Per 100,000 population",26.4
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cancer,"Per 100,000 population",30.2
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cancer,"Per 100,000 population",33.8
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cancer,"Per 100,000 population",33.9
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cancer,"Per 100,000 population",33.0
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cancer,"Per 100,000 population",32.1
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cancer,"Per 100,000 population",35.6
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cancer,"Per 100,000 population",42.3
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cancer,"Per 100,000 population",38.6
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cancer,"Per 100,000 population",32.6
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cancer,"Per 100,000 population",43.3
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cancer,"Per 100,000 population",37.5
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cancer,"Per 100,000 population",36.3
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cancer,"Per 100,000 population",42.0
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cancer,"Per 100,000 population",47.8
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cancer,"Per 100,000 population",46.3
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cancer,"Per 100,000 population",51.5
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cancer,"Per 100,000 population",47.3
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cancer,"Per 100,000 population",49.2
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cancer,"Per 100,000 population",51.0
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cancer,"Per 100,000 population",52.9
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cancer,"Per 100,000 population",54.2
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cancer,"Per 100,000 population",50.9
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cancer,"Per 100,000 population",49.5
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cancer,"Per 100,000 population",50.9
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cancer,"Per 100,000 population",74.6
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cancer,"Per 100,000 population",72.4
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cancer,"Per 100,000 population",78.7
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cancer,"Per 100,000 population",73.4
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cancer,"Per 100,000 population",74.0
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cancer,"Per 100,000 population",84.8
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cancer,"Per 100,000 population",81.8
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cancer,"Per 100,000 population",85.2
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cancer,"Per 100,000 population",89.1
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cancer,"Per 100,000 population",83.9
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cancer,"Per 100,000 population",80.9
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cancer,"Per 100,000 population",90.5
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cancer,"Per 100,000 population",87.4
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cancer,"Per 100,000 population",70.8
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cancer,"Per 100,000 population",72.0
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cancer,"Per 100,000 population",72.0
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cancer,"Per 100,000 population",66.7
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cancer,"Per 100,000 population",81.9
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cancer,"Per 100,000 population",63.8
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cancer,"Per 100,000 population",78.2
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cancer,"Per 100,000 population",82.4
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cancer,"Per 100,000 population",89.5
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cancer,"Per 100,000 population",88.1
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cancer,"Per 100,000 population",81.8
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cancer,"Per 100,000 population",87.9
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cancer,"Per 100,000 population",83.6
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cancer,"Per 100,000 population",38.1
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cancer,"Per 100,000 population",36.4
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cancer,"Per 100,000 population",40.7
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cancer,"Per 100,000 population",40.1
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cancer,"Per 100,000 population",43.6
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cancer,"Per 100,000 population",43.0
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cancer,"Per 100,000 population",43.0
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cancer,"Per 100,000 population",50.7
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cancer,"Per 100,000 population",50.6
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cancer,"Per 100,000 population",49.9
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cancer,"Per 100,000 population",49.1
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cancer,"Per 100,000 population",51.0
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cancer,"Per 100,000 population",52.8
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cancer,"Per 100,000 population",47.2
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cancer,"Per 100,000 population",54.7
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cancer,"Per 100,000 population",59.7
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cancer,"Per 100,000 population",66.0
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cancer,"Per 100,000 population",59.9
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cancer,"Per 100,000 population",58.5
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cancer,"Per 100,000 population",68.3
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cancer,"Per 100,000 population",68.9
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cancer,"Per 100,000 population",60.6
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cancer,"Per 100,000 population",70.7
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cancer,"Per 100,000 population",62.6
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cancer,"Per 100,000 population",59.7
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cancer,"Per 100,000 population",61.0
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cancer,"Per 100,000 population",88.1
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cancer,"Per 100,000 population",91.2
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cancer,"Per 100,000 population",95.3
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cancer,"Per 100,000 population",89.6
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cancer,"Per 100,000 population",92.0
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cancer,"Per 100,000 population",91.5
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cancer,"Per 100,000 population",88.3
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cancer,"Per 100,000 population",92.7
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cancer,"Per 100,000 population",82.6
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cancer,"Per 100,000 population",94.3
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cancer,"Per 100,000 population",91.3
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cancer,"Per 100,000 population",97.5
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cancer,"Per 100,000 population",96.6
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cancer,"Per 100,000 population",82.3
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cancer,"Per 100,000 population",82.6
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cancer,"Per 100,000 population",75.8
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cancer,"Per 100,000 population",78.1
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cancer,"Per 100,000 population",69.8
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cancer,"Per 100,000 population",67.4
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cancer,"Per 100,000 population",69.3
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cancer,"Per 100,000 population",73.1
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cancer,"Per 100,000 population",76.6
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cancer,"Per 100,000 population",66.5
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cancer,"Per 100,000 population",69.1
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cancer,"Per 100,000 population",69.3
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cancer,"Per 100,000 population",64.2
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cancer,"Per 100,000 population",46.8
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cancer,"Per 100,000 population",50.5
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cancer,"Per 100,000 population",50.3
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cancer,"Per 100,000 population",46.2
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cancer,"Per 100,000 population",58.2
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cancer,"Per 100,000 population",50.4
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cancer,"Per 100,000 population",64.7
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cancer,"Per 100,000 population",52.3
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cancer,"Per 100,000 population",51.3
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cancer,"Per 100,000 population",54.9
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cancer,"Per 100,000 population",53.3
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cancer,"Per 100,000 population",65.3
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cancer,"Per 100,000 population",58.8
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Diabetes,"Per 100,000 population",6.9
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Diabetes,"Per 100,000 population",6.8
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Diabetes,"Per 100,000 population",6.2
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Diabetes,"Per 100,000 population",5.7
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Diabetes,"Per 100,000 population",5.8
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Diabetes,"Per 100,000 population",5.3
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Diabetes,"Per 100,000 population",6.9
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Diabetes,"Per 100,000 population",7.2
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Diabetes,"Per 100,000 population",6.0
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Diabetes,"Per 100,000 population",6.7
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Diabetes,"Per 100,000 population",6.8
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Diabetes,"Per 100,000 population",7.3
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Diabetes,"Per 100,000 population",7.0
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Diabetes,"Per 100,000 population",8.1
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Diabetes,"Per 100,000 population",5.7
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Diabetes,"Per 100,000 population",4.6
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Diabetes,"Per 100,000 population",4.1
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Diabetes,"Per 100,000 population",3.1
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Diabetes,"Per 100,000 population",5.5
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Diabetes,"Per 100,000 population",4.5
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Diabetes,"Per 100,000 population",5.9
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Diabetes,"Per 100,000 population",6.2
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Diabetes,"Per 100,000 population",7.0
