Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Economic activity,UNIT_MEASURE,Value
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Construction,"Per 1,000 population",209.3
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Construction,"Per 1,000 population",222.7
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Construction,"Per 1,000 population",250.3
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Construction,"Per 1,000 population",221.8
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Construction,"Per 1,000 population",217.0
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Construction,"Per 1,000 population",261.7
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Other service activities,"Per 1,000 population",480.4
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Other service activities,"Per 1,000 population",501.4
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Other service activities,"Per 1,000 population",533.1
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Other service activities,"Per 1,000 population",557.2
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Other service activities,"Per 1,000 population",568.4
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Other service activities,"Per 1,000 population",553.7
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Other service activities,"Per 1,000 population",585.2
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Other service activities,"Per 1,000 population",586.2
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Other service activities,"Per 1,000 population",635.7
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Other service activities,"Per 1,000 population",659.1
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Other service activities,"Per 1,000 population",731.3
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Other service activities,"Per 1,000 population",781.9
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Other service activities,"Per 1,000 population",810.2
